name,lon,lat,injuries,fatalities,points,score
9th Ave and Lincoln Tunnel Expy,-73.99812,40.750904,15,0,1,1
"40.752216,-73.99943",-73.99943,40.752216,7,0,1,1
Hudson St and W Houston St,-74.00709000000001,40.72877,8,0,1,1
12th Ave and W 34th St,-74.00493,40.757023,91,0,2,2
"40.73202,-74.01039",-74.01039,40.73202,1,1,1,1
Washington Sq W and Washington Sq S,-73.9996,40.731045,2,0,1,1
Charlton St and Varick St,-74.00555,40.727158,10,0,1,1
W 3rd St and Macdougal St,-74.00012,40.73043,10,0,1,1
Macdougal St and Minetta Ln,-74.000496,40.72999,3,0,1,1
Ave of the Americas and Charlton St,-74.00344,40.72696,4,0,1,1
Leroy St and Washington St,-74.00906999999999,40.730434,1,0,1,1
Bleecker St and Macdougal St,-74.00118999999999,40.729168,13,0,1,1
"40.749054,-73.99575",-73.99575,40.749054,26,0,1,1
Greenwich St and Clarkson St,-74.00839999999999,40.72963,4,0,1,1
Macdougal St and W Houston St,-74.00215,40.728035,11,0,1,1
Spring St and Ave of the Americas,-74.004555,40.72556,15,0,1,1
Macdougal St and Ave of the Americas,-74.00373,40.72625,3,0,1,1
King St and Hudson St,-74.0072,40.72805,5,0,1,1
"40.7313,-74.01046",-74.01045999999999,40.7313,10,0,1,1
9th Ave and W 31st St,-73.99768,40.75144,21,0,1,1
Varick St and Vandam St,-74.00566000000001,40.726437,23,0,1,1
"40.755783,-74.00198",-74.00198,40.755783,42,0,1,1
Clarkson St and Washington St,-74.00921,40.729706,1,0,1,1
"40.73067,-73.99884",-73.99884,40.73067,2,0,1,1
Sullivan St and W 3rd St,-73.99937,40.730057,2,0,1,1
W Houston St and Greenwich St,-74.00859,40.728916,4,0,1,1
W 33rd St and 10th Ave,-73.99963,40.753918,19,0,1,1
Dominick St and Ave of the Americas,-74.00465,40.72491,0,0,1,1
Sullivan St and Bleecker St,-74.000435,40.728794,4,0,1,1
W 30th St and 8th Ave,-73.9953,40.749672,48,0,1,1
"40.730568,-74.01051",-74.01051,40.730568,4,0,1,1
5th Ave and W 11th St,-73.99505000000001,40.734035,12,0,1,1
W Houston St and Sullivan St,-74.00139,40.72766,15,0,1,1
Hudson St and Charlton St,-74.00732000000001,40.72733,7,0,1,1
W 10th St and 5th Ave,-73.99549,40.733437,12,0,1,1
Spring St and Varick St,-74.00578,40.725674,40,0,1,1
"40.726494,-74.00235",-74.00235000000001,40.726494,3,0,1,1
E 9th St and 5th Ave,-73.99590999999999,40.732845,18,0,1,1
"40.753468,-73.998566",-73.998566,40.753468,1,0,1,1
Washington St and W Houston St,-74.00934599999999,40.72899,6,0,1,1
11th Ave and W 35th St,-74.00149999999999,40.75645,4,0,1,1
"40.72525,-74.00338",-74.00338000000001,40.72525,3,0,1,1
Broome St and Ave of the Americas,-74.00458,40.724174,4,0,1,1
E 8th St and 5th Ave,-73.99635000000001,40.732254,32,0,1,1
"40.724052,-74.00438",-74.00438,40.724052,0,0,1,1
Washington Sq N and 5th Ave,-73.99697,40.731407,6,0,1,1
Washington Sq S and Thompson St,-73.99807,40.73029,7,0,1,1
Thompson St and W 3rd St,-73.998604,40.729687,3,0,1,1
"40.729828,-74.0106",-74.0106,40.729828,16,0,1,1
Vandam St and Hudson St,-74.00743,40.7266,3,0,1,1
Dominick St and Varick St,-74.0059,40.725025,7,0,1,1
W 34th St and 10th Ave,-73.999146,40.754585,46,1,1,1
Bleecker St and Thompson St,-73.99968,40.728424,7,0,1,1
W Houston St and Thompson St,-74.00063,40.727287,18,0,1,1
Watts St and Sullivan St,-74.00478,40.723625,25,1,1,1
Thompson St and Prince St,-74.00159499999999,40.72612,5,0,1,1
Charlton St and Greenwich St,-74.00884000000001,40.72747,1,0,1,1
9th Ave and W 33rd St,-73.99679,40.752724,17,0,1,1
"40.757065,-74.00105",-74.00105000000001,40.757065,21,0,1,1
Thompson St and Spring St,-74.00261999999999,40.72488,6,0,1,1
"40.729115,-74.01067",-74.01067,40.729115,39,0,1,1
Varick St and Broome St,-74.00604,40.724403,7,0,1,1
"40.723682,-74.00364",-74.00364,40.723682,3,0,1,1
Spring St and Hudson St,-74.00756,40.72584,10,0,1,1
Washington Sq S and Laguardia Pl,-73.99736,40.729942,1,0,1,1
Thompson St and Watts St,-74.00382999999999,40.72345,4,0,1,1
W 3rd St and Laguardia Pl,-73.99789,40.72931,8,0,1,1
Thompson St and Grand St,-74.00445000000001,40.722717,4,0,1,1
Laguardia Pl and Bleecker St,-73.998955,40.72807,23,0,1,1
10th Ave and W 35th St,-73.99866,40.755253,12,0,1,1
Ave of the Americas and Grand St,-74.00506,40.722977,10,0,1,1
W Houston St and Laguardia Pl,-73.999916,40.726936,56,1,1,1
Prince St and W Broadway,-74.0009,40.725773,14,0,1,1
Watts St and Varick St,-74.00612,40.723747,75,0,2,2
W 34th St and 9th Ave,-73.99630000000001,40.753387,47,0,1,1
11th Ave and W 37th St,-74.00059,40.757694,8,0,1,1
Spring St and W Broadway,-74.00193,40.724552,18,0,1,1
W Broadway and Broome St,-74.00297999999999,40.72331,31,0,1,1
University Pl and Waverly Pl,-73.99556,40.730717,5,0,1,1
Washington Sq E and Washington Pl,-73.99606,40.730156,2,0,1,1
Grand St and W Broadway,-74.00377,40.722385,14,0,1,1
Washington Sq S and Washington Sq E,-73.996574,40.729553,4,0,1,1
"40.76016,-74.00264",-74.00264,40.76016,38,1,1,1
"40.755867,-73.99821",-73.99821,40.755867,9,0,1,1
Greenwich St and Spring St,-74.009094,40.72599,2,0,1,1
Grand St and Varick St,-74.00623,40.72312,8,0,1,1
Hudson St and Broome St,-74.00778,40.724564,2,0,1,1
Canal St and W Broadway,-74.00463999999999,40.721355,25,1,1,1
"40.726543,-73.999115",-73.999115,40.726543,13,0,1,1
Canal St and Thompson St,-74.00522599999999,40.721745,0,0,1,1
"40.72538,-74.0001",-74.0001,40.72538,2,0,1,1
Laight St and Ave of the Americas,-74.00530999999999,40.721725,1,0,1,1
"40.758305,-74.00014",-74.00014,40.758305,7,0,1,1
Canal St and Sullivan St,-74.00591,40.72225,33,0,1,1
"40.754055,-73.99582",-73.99581999999999,40.754055,26,0,1,1
Spring St and Wooster St,-74.00113,40.724167,4,0,1,1
"40.72255,-74.0063",-74.0063,40.72255,69,0,2,2
"40.72607,-74.00991",-74.00991,40.72607,4,0,1,1
Broome St and Wooster St,-74.002174,40.72293,4,0,1,1
12th Ave and W 40th St,-74.00218,40.760777,39,0,1,1
W 4th St and Greene St,-73.99581000000001,40.72918,1,0,1,1
"40.755165,-73.99655",-73.99655,40.755165,9,0,1,1
Wooster St and Grand St,-74.00297,40.721996,2,0,1,1
10th Ave and W 37th St,-73.99776,40.75649,11,0,1,1
Canal St and Hudson St,-74.00791,40.7237,63,1,1,1
York St and Ave of the Americas,-74.00525,40.721024,3,0,1,1
Canal St and Wooster St,-74.00393,40.720856,8,0,1,1
Canal St and Watts St,-74.00830000000001,40.723976,4,0,1,1
"40.726166,-73.99836",-73.99836000000001,40.726166,3,0,1,1
W Broadway and Ave of the Americas,-74.00521000000001,40.720627,9,0,1,1
Canal St and Greenwich St,-74.009315,40.7247,27,0,1,1
W 39th St and 11th Ave,-73.99969,40.758923,8,0,1,1
Prince St and Greene St,-73.99934399999999,40.725006,4,0,1,1
"40.723278,-74.00799",-74.00799000000001,40.723278,7,0,1,1
"40.726177,-74.01096",-74.01096,40.726177,5,0,1,1
9th Ave and W 36th St,-73.99535,40.75469,26,0,1,1
Spring St and Greene St,-74.00037,40.723797,5,0,1,1
"40.726097,-74.01097",-74.01097,40.726097,0,1,1,1
Canal St and Church St,-74.00351000000001,40.72056,19,0,1,1
I- 78 and Canal St,-74.01007,40.725044,1,0,1,1
Greene St and Broome St,-74.0014,40.722557,8,0,1,1
"40.72004,-74.003914",-74.00391399999999,40.72004,3,0,1,1
"40.76139,-74.00174",-74.00174,40.76139,11,0,1,1
W 4th St and Mercer St,-73.99506,40.72881,3,0,1,1
